,path,label_str
53,drive/My Drive/Speech Emotion Recognition/data/CREMA/1045_IWL_NEU_XX.wav,neutral
54,drive/My Drive/Speech Emotion Recognition/data/CREMA/1005_IWL_ANG_XX.wav,angry
55,drive/My Drive/Speech Emotion Recognition/data/CREMA/1055_TIE_HAP_XX.wav,happy
56,drive/My Drive/Speech Emotion Recognition/data/CREMA/1059_IWW_HAP_XX.wav,happy
57,drive/My Drive/Speech Emotion Recognition/data/CREMA/1004_ITS_NEU_XX.wav,neutral
58,drive/My Drive/Speech Emotion Recognition/data/CREMA/1049_IOM_ANG_XX.wav,angry
59,drive/My Drive/Speech Emotion Recognition/data/CREMA/1055_TSI_HAP_XX.wav,happy
60,drive/My Drive/Speech Emotion Recognition/data/CREMA/1044_TSI_NEU_XX.wav,neutral
61,drive/My Drive/Speech Emotion Recognition/data/CREMA/1015_ITS_NEU_XX.wav,neutral
62,drive/My Drive/Speech Emotion Recognition/data/CREMA/1043_IWL_ANG_XX.wav,angry
63,drive/My Drive/Speech Emotion Recognition/data/CREMA/1013_IOM_SAD_XX.wav,sad
64,drive/My Drive/Speech Emotion Recognition/data/CREMA/1024_IEO_SAD_LO.wav,sad
65,drive/My Drive/Speech Emotion Recognition/data/CREMA/1037_IEO_SAD_LO.wav,sad
66,drive/My Drive/Speech Emotion Recognition/data/CREMA/1061_ITS_HAP_XX.wav,happy
67,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-02-01-01-01-19.wav,neutral
68,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-03-01-02-01-19.wav,happy
69,drive/My Drive/Speech Emotion Recognition/data/CREMA/1004_ITS_HAP_XX.wav,happy
70,drive/My Drive/Speech Emotion Recognition/data/CREMA/1037_TIE_HAP_XX.wav,happy
71,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-05-02-01-01-15.wav,angry
72,drive/My Drive/Speech Emotion Recognition/data/CREMA/1063_ITH_ANG_XX.wav,angry
73,drive/My Drive/Speech Emotion Recognition/data/CREMA/1041_ITH_SAD_XX.wav,sad
74,drive/My Drive/Speech Emotion Recognition/data/CREMA/1054_DFA_ANG_XX.wav,angry
75,drive/My Drive/Speech Emotion Recognition/data/CREMA/1031_IEO_SAD_LO.wav,sad
76,drive/My Drive/Speech Emotion Recognition/data/CREMA/1032_IEO_ANG_LO.wav,angry
77,drive/My Drive/Speech Emotion Recognition/data/CREMA/1002_DFA_HAP_XX.wav,happy
78,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-02-02-02-02-03.wav,neutral
79,drive/My Drive/Speech Emotion Recognition/data/CREMA/1021_ITS_HAP_XX.wav,happy
80,drive/My Drive/Speech Emotion Recognition/data/CREMA/1064_IEO_SAD_HI.wav,sad
81,drive/My Drive/Speech Emotion Recognition/data/CREMA/1060_IEO_HAP_HI.wav,happy
82,drive/My Drive/Speech Emotion Recognition/data/CREMA/1056_DFA_NEU_XX.wav,neutral
83,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-05-02-02-01-22.wav,angry
84,drive/My Drive/Speech Emotion Recognition/data/CREMA/1001_DFA_ANG_XX.wav,angry
85,drive/My Drive/Speech Emotion Recognition/data/CREMA/1054_TAI_HAP_XX.wav,happy
86,drive/My Drive/Speech Emotion Recognition/data/CREMA/1052_MTI_SAD_XX.wav,sad
87,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-03-02-01-01-04.wav,happy
88,drive/My Drive/Speech Emotion Recognition/data/CREMA/1058_ITS_HAP_XX.wav,happy
89,drive/My Drive/Speech Emotion Recognition/data/CREMA/1021_WSI_NEU_XX.wav,neutral
90,drive/My Drive/Speech Emotion Recognition/data/CREMA/1064_IWW_ANG_XX.wav,angry
91,drive/My Drive/Speech Emotion Recognition/data/CREMA/1015_TAI_HAP_XX.wav,happy
92,drive/My Drive/Speech Emotion Recognition/data/CREMA/1022_IOM_HAP_XX.wav,happy
93,drive/My Drive/Speech Emotion Recognition/data/CREMA/1032_IEO_ANG_HI.wav,angry
94,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-05-01-01-01-01.wav,angry
95,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-05-01-01-01-09.wav,angry
96,drive/My Drive/Speech Emotion Recognition/data/CREMA/1029_IEO_SAD_HI.wav,sad
97,drive/My Drive/Speech Emotion Recognition/data/CREMA/1035_MTI_NEU_XX.wav,neutral
98,drive/My Drive/Speech Emotion Recognition/data/CREMA/1063_IWW_SAD_XX.wav,sad
99,drive/My Drive/Speech Emotion Recognition/data/CREMA/1063_IOM_SAD_XX.wav,sad
100,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-05-02-02-02-16.wav,angry
101,drive/My Drive/Speech Emotion Recognition/data/CREMA/1011_DFA_NEU_XX.wav,neutral
102,drive/My Drive/Speech Emotion Recognition/data/CREMA/1040_TSI_NEU_XX.wav,neutral
103,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-04-01-02-02-14.wav,sad
104,drive/My Drive/Speech Emotion Recognition/data/CREMA/1035_TIE_ANG_XX.wav,angry
105,drive/My Drive/Speech Emotion Recognition/data/CREMA/1029_TIE_HAP_XX.wav,happy
106,drive/My Drive/Speech Emotion Recognition/data/CREMA/1023_IWW_HAP_XX.wav,happy
107,drive/My Drive/Speech Emotion Recognition/data/CREMA/1052_MTI_NEU_XX.wav,neutral
108,drive/My Drive/Speech Emotion Recognition/data/CREMA/1034_IEO_SAD_LO.wav,sad
109,drive/My Drive/Speech Emotion Recognition/data/CREMA/1033_IWL_NEU_XX.wav,neutral
110,drive/My Drive/Speech Emotion Recognition/data/CREMA/1002_IEO_ANG_HI.wav,angry
111,drive/My Drive/Speech Emotion Recognition/data/CREMA/1054_TIE_ANG_XX.wav,angry
112,drive/My Drive/Speech Emotion Recognition/data/CREMA/1045_IEO_ANG_HI.wav,angry
113,drive/My Drive/Speech Emotion Recognition/data/CREMA/1027_MTI_HAP_XX.wav,happy
114,drive/My Drive/Speech Emotion Recognition/data/CREMA/1021_ITS_SAD_XX.wav,sad
115,drive/My Drive/Speech Emotion Recognition/data/CREMA/1011_ITS_NEU_XX.wav,neutral
116,drive/My Drive/Speech Emotion Recognition/data/CREMA/1042_ITS_HAP_XX.wav,happy
117,drive/My Drive/Speech Emotion Recognition/data/CREMA/1011_IEO_SAD_LO.wav,sad
118,drive/My Drive/Speech Emotion Recognition/data/CREMA/1031_TAI_NEU_XX.wav,neutral
119,drive/My Drive/Speech Emotion Recognition/data/CREMA/1004_IEO_ANG_HI.wav,angry
120,drive/My Drive/Speech Emotion Recognition/data/CREMA/1014_TAI_HAP_XX.wav,happy
121,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-04-01-01-02-10.wav,sad
122,drive/My Drive/Speech Emotion Recognition/data/CREMA/1011_IWW_ANG_XX.wav,angry
123,drive/My Drive/Speech Emotion Recognition/data/CREMA/1051_IWW_NEU_XX.wav,neutral
124,drive/My Drive/Speech Emotion Recognition/data/CREMA/1024_IEO_ANG_HI.wav,angry
125,drive/My Drive/Speech Emotion Recognition/data/CREMA/1012_DFA_ANG_XX.wav,angry
126,drive/My Drive/Speech Emotion Recognition/data/CREMA/1056_WSI_NEU_XX.wav,neutral
127,drive/My Drive/Speech Emotion Recognition/data/CREMA/1064_TSI_ANG_XX.wav,angry
128,drive/My Drive/Speech Emotion Recognition/data/CREMA/1020_DFA_ANG_XX.wav,angry
129,drive/My Drive/Speech Emotion Recognition/data/CREMA/1040_TAI_NEU_XX.wav,neutral
130,drive/My Drive/Speech Emotion Recognition/data/CREMA/1051_MTI_ANG_XX.wav,angry
131,drive/My Drive/Speech Emotion Recognition/data/CREMA/1004_WSI_NEU_XX.wav,neutral
132,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-05-01-02-02-02.wav,angry
133,drive/My Drive/Speech Emotion Recognition/data/CREMA/1067_IOM_NEU_XX.wav,neutral
134,drive/My Drive/Speech Emotion Recognition/data/CREMA/1016_TSI_NEU_XX.wav,neutral
135,drive/My Drive/Speech Emotion Recognition/data/CREMA/1018_ITH_ANG_XX.wav,angry
136,drive/My Drive/Speech Emotion Recognition/data/CREMA/1044_IEO_HAP_HI.wav,happy
137,drive/My Drive/Speech Emotion Recognition/data/CREMA/1030_IWL_HAP_XX.wav,happy
138,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-03-02-01-02-07.wav,happy
139,drive/My Drive/Speech Emotion Recognition/data/CREMA/1039_IEO_ANG_HI.wav,angry
140,drive/My Drive/Speech Emotion Recognition/data/CREMA/1044_IEO_ANG_HI.wav,angry
141,drive/My Drive/Speech Emotion Recognition/data/CREMA/1026_IWL_SAD_XX.wav,sad
142,drive/My Drive/Speech Emotion Recognition/data/CREMA/1020_IEO_HAP_MD.wav,happy
143,drive/My Drive/Speech Emotion Recognition/data/CREMA/1036_TSI_HAP_XX.wav,happy
144,drive/My Drive/Speech Emotion Recognition/data/CREMA/1024_MTI_ANG_XX.wav,angry
145,drive/My Drive/Speech Emotion Recognition/data/CREMA/1034_MTI_ANG_XX.wav,angry
146,drive/My Drive/Speech Emotion Recognition/data/CREMA/1051_IEO_ANG_MD.wav,angry
147,drive/My Drive/Speech Emotion Recognition/data/CREMA/1009_ITH_HAP_XX.wav,happy
148,drive/My Drive/Speech Emotion Recognition/data/CREMA/1022_ITH_SAD_XX.wav,sad
149,drive/My Drive/Speech Emotion Recognition/data/CREMA/1017_MTI_NEU_XX.wav,neutral
150,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-05-02-01-02-20.wav,angry
151,drive/My Drive/Speech Emotion Recognition/data/CREMA/1018_IWW_HAP_XX.wav,happy
152,drive/My Drive/Speech Emotion Recognition/data/CREMA/1049_TIE_SAD_XX.wav,sad
153,drive/My Drive/Speech Emotion Recognition/data/CREMA/1032_TAI_SAD_XX.wav,sad
154,drive/My Drive/Speech Emotion Recognition/data/CREMA/1067_DFA_HAP_XX.wav,happy
155,drive/My Drive/Speech Emotion Recognition/data/CREMA/1041_IEO_SAD_MD.wav,sad
156,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-04-02-02-01-07.wav,sad
157,drive/My Drive/Speech Emotion Recognition/data/CREMA/1004_IWL_SAD_XX.wav,sad
158,drive/My Drive/Speech Emotion Recognition/data/CREMA/1062_IOM_SAD_XX.wav,sad
159,drive/My Drive/Speech Emotion Recognition/data/CREMA/1004_IWW_HAP_XX.wav,happy
160,drive/My Drive/Speech Emotion Recognition/data/CREMA/1057_IWW_HAP_XX.wav,happy
161,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-03-01-02-02-16.wav,happy
162,drive/My Drive/Speech Emotion Recognition/data/CREMA/1047_MTI_SAD_XX.wav,sad
163,drive/My Drive/Speech Emotion Recognition/data/CREMA/1015_IWL_SAD_XX.wav,sad
164,drive/My Drive/Speech Emotion Recognition/data/CREMA/1014_TAI_ANG_XX.wav,angry
165,drive/My Drive/Speech Emotion Recognition/data/CREMA/1046_TAI_HAP_XX.wav,happy
166,drive/My Drive/Speech Emotion Recognition/data/CREMA/1047_TIE_SAD_XX.wav,sad
167,drive/My Drive/Speech Emotion Recognition/data/CREMA/1044_MTI_ANG_XX.wav,angry
168,drive/My Drive/Speech Emotion Recognition/data/CREMA/1055_TSI_SAD_XX.wav,sad
169,drive/My Drive/Speech Emotion Recognition/data/CREMA/1008_DFA_SAD_XX.wav,sad
170,drive/My Drive/Speech Emotion Recognition/data/CREMA/1033_IEO_HAP_MD.wav,happy
171,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-03-01-01-02-07.wav,happy
172,drive/My Drive/Speech Emotion Recognition/data/CREMA/1033_IEO_ANG_LO.wav,angry
173,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-05-02-01-01-16.wav,angry
174,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-02-02-01-01-13.wav,neutral
175,drive/My Drive/Speech Emotion Recognition/data/CREMA/1007_ITH_HAP_XX.wav,happy
176,drive/My Drive/Speech Emotion Recognition/data/CREMA/1006_IEO_NEU_XX.wav,neutral
177,drive/My Drive/Speech Emotion Recognition/data/CREMA/1056_IWL_HAP_XX.wav,happy
178,drive/My Drive/Speech Emotion Recognition/data/CREMA/1008_TAI_SAD_XX.wav,sad
179,drive/My Drive/Speech Emotion Recognition/data/CREMA/1045_MTI_NEU_XX.wav,neutral
180,drive/My Drive/Speech Emotion Recognition/data/CREMA/1067_IWW_NEU_XX.wav,neutral
181,drive/My Drive/Speech Emotion Recognition/data/CREMA/1048_IOM_SAD_XX.wav,sad
182,drive/My Drive/Speech Emotion Recognition/data/CREMA/1037_TSI_HAP_XX.wav,happy
183,drive/My Drive/Speech Emotion Recognition/data/CREMA/1018_DFA_HAP_XX.wav,happy
184,drive/My Drive/Speech Emotion Recognition/data/CREMA/1032_WSI_HAP_XX.wav,happy
185,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-02-02-01-02-15.wav,neutral
186,drive/My Drive/Speech Emotion Recognition/data/CREMA/1066_TSI_ANG_XX.wav,angry
187,drive/My Drive/Speech Emotion Recognition/data/CREMA/1023_MTI_ANG_XX.wav,angry
188,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-03-02-02-01-04.wav,happy
189,drive/My Drive/Speech Emotion Recognition/data/CREMA/1045_IWL_ANG_XX.wav,angry
190,drive/My Drive/Speech Emotion Recognition/data/CREMA/1036_TIE_HAP_XX.wav,happy
191,drive/My Drive/Speech Emotion Recognition/data/CREMA/1027_IOM_HAP_XX.wav,happy
192,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-01-01-01-02-04.wav,neutral
193,drive/My Drive/Speech Emotion Recognition/data/CREMA/1045_WSI_HAP_XX.wav,happy
194,drive/My Drive/Speech Emotion Recognition/data/CREMA/1066_TAI_ANG_XX.wav,angry
195,drive/My Drive/Speech Emotion Recognition/data/CREMA/1065_TSI_SAD_XX.wav,sad
196,drive/My Drive/Speech Emotion Recognition/data/CREMA/1066_ITH_HAP_XX.wav,happy
197,drive/My Drive/Speech Emotion Recognition/data/CREMA/1038_IEO_NEU_XX.wav,neutral
198,drive/My Drive/Speech Emotion Recognition/data/CREMA/1004_IWL_ANG_XX.wav,angry
199,drive/My Drive/Speech Emotion Recognition/data/CREMA/1058_ITH_NEU_XX.wav,neutral
200,drive/My Drive/Speech Emotion Recognition/data/CREMA/1030_TAI_ANG_XX.wav,angry
201,drive/My Drive/Speech Emotion Recognition/data/CREMA/1044_IEO_HAP_LO.wav,happy
202,drive/My Drive/Speech Emotion Recognition/data/CREMA/1041_IEO_SAD_LO.wav,sad
203,drive/My Drive/Speech Emotion Recognition/data/CREMA/1023_IEO_SAD_MD.wav,sad
204,drive/My Drive/Speech Emotion Recognition/data/CREMA/1050_ITS_HAP_XX.wav,happy
205,drive/My Drive/Speech Emotion Recognition/data/CREMA/1035_IWL_NEU_XX.wav,neutral
206,drive/My Drive/Speech Emotion Recognition/data/CREMA/1064_ITS_HAP_XX.wav,happy
207,drive/My Drive/Speech Emotion Recognition/data/CREMA/1026_MTI_ANG_XX.wav,angry
208,drive/My Drive/Speech Emotion Recognition/data/CREMA/1018_IEO_SAD_MD.wav,sad
209,drive/My Drive/Speech Emotion Recognition/data/CREMA/1033_WSI_ANG_XX.wav,angry
210,drive/My Drive/Speech Emotion Recognition/data/CREMA/1026_IEO_HAP_MD.wav,happy
211,drive/My Drive/Speech Emotion Recognition/data/CREMA/1009_TAI_SAD_XX.wav,sad
212,drive/My Drive/Speech Emotion Recognition/data/CREMA/1058_ITH_ANG_XX.wav,angry
213,drive/My Drive/Speech Emotion Recognition/data/CREMA/1002_IEO_HAP_HI.wav,happy
214,drive/My Drive/Speech Emotion Recognition/data/CREMA/1056_ITH_SAD_XX.wav,sad
215,drive/My Drive/Speech Emotion Recognition/data/CREMA/1017_ITS_NEU_XX.wav,neutral
216,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-04-01-02-02-12.wav,sad
217,drive/My Drive/Speech Emotion Recognition/data/CREMA/1045_TAI_NEU_XX.wav,neutral
218,drive/My Drive/Speech Emotion Recognition/data/CREMA/1001_TAI_ANG_XX.wav,angry
219,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-02-02-02-02-09.wav,neutral
220,drive/My Drive/Speech Emotion Recognition/data/CREMA/1016_ITS_ANG_XX.wav,angry
221,drive/My Drive/Speech Emotion Recognition/data/CREMA/1037_IOM_NEU_XX.wav,neutral
222,drive/My Drive/Speech Emotion Recognition/data/CREMA/1007_TIE_HAP_XX.wav,happy
223,drive/My Drive/Speech Emotion Recognition/data/CREMA/1055_IWW_NEU_XX.wav,neutral
224,drive/My Drive/Speech Emotion Recognition/data/CREMA/1056_IOM_ANG_XX.wav,angry
225,drive/My Drive/Speech Emotion Recognition/data/CREMA/1056_IEO_SAD_HI.wav,sad
226,drive/My Drive/Speech Emotion Recognition/data/CREMA/1011_TSI_SAD_XX.wav,sad
227,drive/My Drive/Speech Emotion Recognition/data/CREMA/1049_MTI_SAD_XX.wav,sad
228,drive/My Drive/Speech Emotion Recognition/data/CREMA/1060_IWL_NEU_XX.wav,neutral
229,drive/My Drive/Speech Emotion Recognition/data/CREMA/1025_ITS_HAP_XX.wav,happy
230,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-04-02-01-02-08.wav,sad
231,drive/My Drive/Speech Emotion Recognition/data/CREMA/1032_ITH_HAP_XX.wav,happy
232,drive/My Drive/Speech Emotion Recognition/data/CREMA/1007_IOM_ANG_XX.wav,angry
233,drive/My Drive/Speech Emotion Recognition/data/CREMA/1006_WSI_SAD_XX.wav,sad
234,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-04-01-02-02-21.wav,sad
235,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-02-02-02-01-08.wav,neutral
236,drive/My Drive/Speech Emotion Recognition/data/CREMA/1056_TAI_ANG_XX.wav,angry
237,drive/My Drive/Speech Emotion Recognition/data/CREMA/1050_TAI_NEU_XX.wav,neutral
238,drive/My Drive/Speech Emotion Recognition/data/CREMA/1057_DFA_HAP_XX.wav,happy
239,drive/My Drive/Speech Emotion Recognition/data/CREMA/1002_WSI_NEU_XX.wav,neutral
240,drive/My Drive/Speech Emotion Recognition/data/CREMA/1052_ITH_NEU_XX.wav,neutral
241,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-05-01-02-01-01.wav,angry
242,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-02-02-01-02-12.wav,neutral
243,drive/My Drive/Speech Emotion Recognition/data/CREMA/1030_IEO_ANG_LO.wav,angry
244,drive/My Drive/Speech Emotion Recognition/data/CREMA/1039_ITH_SAD_XX.wav,sad
245,drive/My Drive/Speech Emotion Recognition/data/CREMA/1009_WSI_NEU_XX.wav,neutral
246,drive/My Drive/Speech Emotion Recognition/data/CREMA/1025_IWL_HAP_XX.wav,happy
247,drive/My Drive/Speech Emotion Recognition/data/CREMA/1054_ITS_NEU_XX.wav,neutral
248,drive/My Drive/Speech Emotion Recognition/data/CREMA/1056_TSI_NEU_XX.wav,neutral
249,drive/My Drive/Speech Emotion Recognition/data/CREMA/1010_IWL_SAD_XX.wav,sad
250,drive/My Drive/Speech Emotion Recognition/data/CREMA/1009_TSI_SAD_XX.wav,sad
251,drive/My Drive/Speech Emotion Recognition/data/CREMA/1018_TIE_ANG_XX.wav,angry
252,drive/My Drive/Speech Emotion Recognition/data/CREMA/1006_ITS_ANG_XX.wav,angry
253,drive/My Drive/Speech Emotion Recognition/data/CREMA/1022_TSI_HAP_XX.wav,happy
254,drive/My Drive/Speech Emotion Recognition/data/CREMA/1035_IOM_ANG_XX.wav,angry
255,drive/My Drive/Speech Emotion Recognition/data/CREMA/1001_IWL_ANG_XX.wav,angry
256,drive/My Drive/Speech Emotion Recognition/data/CREMA/1015_IEO_NEU_XX.wav,neutral
257,drive/My Drive/Speech Emotion Recognition/data/CREMA/1055_IEO_HAP_LO.wav,happy
258,drive/My Drive/Speech Emotion Recognition/data/CREMA/1047_DFA_SAD_XX.wav,sad
259,drive/My Drive/Speech Emotion Recognition/data/CREMA/1060_DFA_ANG_XX.wav,angry
260,drive/My Drive/Speech Emotion Recognition/data/CREMA/1018_IEO_HAP_HI.wav,happy
261,drive/My Drive/Speech Emotion Recognition/data/CREMA/1050_MTI_HAP_XX.wav,happy
262,drive/My Drive/Speech Emotion Recognition/data/CREMA/1050_DFA_HAP_XX.wav,happy
263,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-04-02-01-02-21.wav,sad
264,drive/My Drive/Speech Emotion Recognition/data/CREMA/1048_TSI_NEU_XX.wav,neutral
265,drive/My Drive/Speech Emotion Recognition/data/CREMA/1049_IOM_NEU_XX.wav,neutral
266,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-04-02-01-02-19.wav,sad
267,drive/My Drive/Speech Emotion Recognition/data/CREMA/1001_IEO_ANG_LO.wav,angry
268,drive/My Drive/Speech Emotion Recognition/data/RAVDESS/03-01-04-01-02-02-11.wav,sad
269,drive/My Drive/Speech Emotion Recognition/data/CREMA/1019_IEO_HAP_LO.wav,happy
270,drive/My Drive/Speech Emotion Recognition/data/CREMA/1006_TIE_NEU_XX.wav,neutral
271,drive/My Drive/Speech Emotion Recognition/data/CREMA/1067_IEO_NEU_XX.wav,neutral
272,drive/My Drive/Speech Emotion Recognition/data/CREMA/1023_TIE_SAD_XX.wav,sad
273,drive/My Drive/Speech Emotion Recognition/data/CREMA/1047_TAI_NEU_XX.wav,neutral
274,drive/My Drive/Speech Emotion Recognition/data/CREMA/1033_DFA_ANG_XX.wav,angry
275,drive/My Drive/Speech Emotion Recognition/data/CREMA/1024_WSI_SAD_XX.wav,sad
276,drive/My Drive/Speech Emotion Recognition/data/CREMA/1001_DFA_SAD_XX.wav,sad
277,drive/My Drive/Speech Emotion Recognition/data/CREMA/1037_TSI_SAD_XX.wav,sad
278,drive/My Drive/Speech Emotion Recognition/data/CREMA/1005_DFA_ANG_XX.wav,angry
279,drive/My Drive/Speech Emotion Recognition/data/CREMA/1014_IWW_ANG_XX.wav,angry
280,drive/My Drive/Speech Emotion Recognition/data/CREMA/1053_ITH_ANG_XX.wav,angry
281,drive/My Drive/Speech Emotion Recognition/data/CREMA/1016_WSI_SAD_XX.wav,sad
